0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
1.299618,0.27067152,0.322054,0.3778779,0.6915999,0.7683036,1.4506124,0.75959367,1.3325794,0.13322626,1.958607,0.9952272,1.9728684,2.646617,3.7134554,5.0246735,4.590051,3.667203,3.091696,3.0537775,5.9100614,5.5822353,3.0636716,1.3636817
0.97813433,0.34360597,0.0012676272,0.38211462,0.6641577,0.5802993,1.6227064,0.9436002,1.2085572,0.39721945,1.6170399,0.9621483,2.2269003,3.3323832,3.566345,4.6346955,4.4080276,3.6745162,3.9400687,3.444417,5.3609242,3.2188277,1.4491402,0.5283499
5.295828,4.5286217,4.4649234,3.375665,4.014574,3.3402176,3.3359144,2.1038508,1.2480654,1.050034,1.9389808,1.4520125,3.3448758,2.1863585,3.3629096,4.0956726,4.237933,4.5389895,4.088182,4.2851586,5.3552866,3.7964888,3.7873266,4.1948886
3.237526,2.80435,3.060497,2.208936,2.9170773,2.8854318,4.774463,2.5860412,1.9516627,0.2722311,1.5061973,0.31722367,1.1524717,1.3145255,1.5098149,1.2005485,1.086436,2.2302952,2.1556594,2.7281506,4.6540155,4.444506,4.3717585,2.8027914
4.7139287,4.0382867,3.639064,3.1762145,3.02487,2.024707,1.5924855,1.6838379,1.084297,0.58847076,1.555761,0.5278453,2.5532515,0.97470117,1.8766485,2.9776664,2.5504022,3.1043293,2.781839,3.170226,3.7974465,2.4328227,2.8801322,5.784429
1.6455392,1.1666437,0.77580136,0.5689132,1.1625056,0.7280234,0.70718676,1.5522609,1.2894766,0.5226853,1.1580669,0.0,0.0,2.3571906,1.8600729,1.3136051,1.4097699,2.3195252,0.8506879,5.4482927,6.1256766,3.7465458,5.0280137,2.7856445
2.8284316,2.3621204,2.5143213,1.8945253,2.646887,2.301356,3.1828024,1.8228776,1.1141397,0.27991048,0.9115751,0.41072458,1.5894369,0.64516187,1.489321,1.5142964,1.2899697,2.3296258,2.0131848,2.4183338,3.4293175,1.8986241,3.4698899,2.9510574
2.7526827,3.465407,1.7530699,3.2491372,3.320372,2.1864593,2.4676163,2.1503758,2.1548479,1.6391741,2.877991,2.4124358,3.3200054,2.6778579,2.0172973,2.775636,3.649528,4.0482874,4.646034,4.8316255,4.2378225,4.8988976,4.687591,3.366001
3.8362708,2.9116733,3.3107855,2.2782645,3.18391,2.6719577,2.2268608,1.5898261,1.5919994,0.3175969,1.6986579,0.37861806,1.5560741,0.8713099,1.843865,1.77794,1.5396231,2.6763551,1.9742125,2.9249542,6.806323,5.8515134,5.121176,4.6559463
3.8671403,2.8650458,2.8534026,2.6610456,2.3578272,2.287783,4.5840354,1.9842912,0.87424093,0.6533649,2.2515612,2.3677564,4.0585246,4.007558,6.0489893,7.5880337,7.316656,5.8990474,5.3019934,3.9942887,2.853918,3.1821325,2.662296,2.3382242
2.125534,1.4986523,1.0599066,0.0,1.2051189,0.6177157,1.1564946,0.7579224,2.5611784,2.2358549,4.8218827,2.2517836,1.9151459,4.8413887,3.6366427,2.6984,1.6902951,3.3392303,1.2794298,2.878769,14.283947,10.958421,3.533589,3.0687659
3.306461,2.3524506,2.2909129,1.960765,1.965444,1.4017719,1.590382,1.2081224,0.7824663,0.2036033,1.4105042,0.70243233,2.0548794,1.9654925,3.547405,4.698178,4.115548,3.5027335,2.4610057,2.6812587,4.4893208,3.1997123,2.408798,2.6024158
1.0046693,0.8566811,0.6795326,0.92726827,1.0732852,1.0421212,1.7210888,2.4305491,0.9953474,0.93747693,1.7236416,0.0,0.05190476,3.5304067,2.3452213,1.3882986,2.0254104,2.5914903,4.045876,8.583653,7.658794,2.1909003,1.8734287,1.3725983
