0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
8.259028,13.310366,4.997267,4.9692993,1.2050523,2.2162642,3.1753469,1.4525309,4.1654873,1.9529204,3.2854643,2.8581603,5.31543,1.4326972,2.3567836,2.0893195,0.19778447,2.2579656,1.306247,0.95322067,1.1171894,2.133207,2.1094968,5.242463
8.31525,6.811944,6.3111696,6.196304,3.4443855,1.8264383,1.4076116,1.9366921,0.46399888,1.016808,1.4499424,1.9253485,4.238379,4.0069685,5.3094344,6.525745,6.3309035,6.147114,4.2137413,5.9175477,3.1542978,3.861599,5.0321484,5.421965
4.8238225,4.2427077,3.689869,3.8465812,2.2304218,1.1234828,0.99005026,1.0087951,0.98454285,0.5459763,1.2036139,1.4524962,2.1345396,0.34830758,1.5059327,1.4302069,0.65595466,4.1344414,2.4172444,2.0693016,1.9825624,2.674446,4.295359,4.484713
1.4291718,0.78448933,0.83358806,1.4473498,0.9632383,1.1426114,5.202701,4.475626,4.455494,4.098441,6.6400876,6.9399137,6.133663,8.647017,8.084278,5.3721223,5.828377,3.4300346,1.3393167,0.7943335,1.5128312,2.0754786,2.036768,1.0114752
0.0,11.799554,7.281726,13.187019,7.359714,2.5291116,3.9447575,1.9523774,4.255743,2.493439,6.0343513,5.71166,5.3620167,0.9815869,3.143331,1.4343762,1.405055,1.4413109,3.56071,2.1074378,1.6808467,3.2096362,3.0814667,2.9140666
1.10915,0.60121024,0.2870768,1.2936462,0.6705918,1.0711586,3.564051,3.2088885,4.0570874,3.4373717,4.1261787,5.932365,2.171046,4.9611382,6.219026,4.010677,2.1626332,6.457844,2.8751593,1.3434913,2.186207,2.7192385,2.1669974,1.0175741
2.3895898,1.3980913,1.0280917,1.3822604,1.3274584,2.1721272,8.159648,6.046686,5.151523,3.1645265,5.923317,5.4952316,4.6373453,7.0942454,6.0898366,4.540866,2.4912653,2.6541924,4.3513036,2.0788484,5.4832544,7.4081984,5.874927,1.9790008
7.001153,4.4284644,2.098126,1.714164,2.1353707,1.8127527,2.0742586,1.0566857,6.4358463,8.243619,10.446855,9.440544,6.5471854,7.947424,4.2750335,2.396602,0.72604245,3.4843624,2.9789698,2.4871879,8.894926,18.06714,15.023599,8.538208
1.6297227,1.7349901,1.9318498,1.276446,1.5813457,1.2857153,0.776816,1.0565599,0.8257047,0.89343375,1.4108461,1.302401,2.053897,0.70216227,1.7715588,1.5750896,0.84487385,1.2471895,0.6792392,0.7230963,0.7262894,1.1771148,0.96395385,1.1194515
2.7425427,13.369332,5.8933268,5.3133187,1.2670206,1.700255,2.3652828,1.0813247,3.5742335,1.1545677,2.324406,2.2657735,4.450708,0.0,1.5532565,1.8333167,0.15868421,0.8388992,0.93306714,0.39852658,0.6883315,1.3423237,0.803877,1.266762
