0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
2.133717,2.3358788,1.4760519,0.37058172,1.8058003,1.752246,2.0653455,1.6737338,1.3219371,1.8812091,3.301899,2.9747999,4.919109,6.1171722,3.276979,2.9439895,1.7427214,3.756023,5.6611223,4.642778,3.6021426,2.5257921,2.8822844,2.3448381
8.1152525,8.456752,7.8718977,5.815065,5.376949,5.2661233,3.6053493,3.961351,1.7631723,2.7745812,3.1846936,3.222804,6.0363884,5.585486,5.7739167,10.404541,8.25637,7.732351,7.655602,8.971286,6.886487,6.5474215,6.1558676,6.316237
4.634257,4.5180707,4.4049544,2.9840603,1.8997681,1.4788295,1.225546,1.679975,0.35431528,0.92529345,1.3934346,1.4299867,4.050856,3.076243,3.9868617,9.016974,7.4511495,6.4495673,6.164478,5.9809027,2.9162714,3.6803648,3.0419774,2.8158405
6.4320507,6.890032,5.8693933,4.9817133,4.5981884,4.3868675,3.184683,3.511901,1.836681,2.3284848,2.4257698,2.94618,5.335588,4.1614347,3.9511745,7.9127398,5.9662914,6.279903,6.5674376,7.979315,6.236764,6.004097,5.2736363,5.4860396
7.660523,8.453483,8.201204,5.7056413,7.0085616,6.945648,3.6293054,4.409945,1.7068471,2.3563216,1.6945137,2.5608342,5.8607864,4.6042037,5.1324177,9.041564,8.074458,7.638266,6.351497,8.586117,6.0476885,5.403463,5.43342,6.127637
5.00875,6.4508896,6.1575766,3.8661857,4.9602013,5.701177,2.8423963,3.8400335,1.1925443,2.4294453,1.901634,2.584462,5.4228845,4.653761,4.74257,9.263897,8.202676,6.437979,4.8168063,7.165339,4.616574,4.4857025,4.3564944,4.209483
5.172199,5.8842287,6.0512295,4.011531,4.6014495,5.086359,2.4190893,3.1232924,0.8452305,2.0325823,1.6323195,2.6517572,5.8446937,4.300784,5.367105,10.054082,8.75116,7.211379,5.5058436,7.0513067,4.1081395,4.1156335,4.064543,4.1232066
4.60579,3.9119174,2.0973365,1.1453145,1.8247392,1.381285,1.409043,2.1069906,1.2116101,1.5917803,2.3888173,1.1660666,3.2108102,3.2774005,1.8797625,3.1826544,2.0448208,2.9216914,5.264173,4.774739,3.5378695,3.4155028,8.625836,6.6985183
4.207772,4.0048995,3.282696,1.9542704,2.3855898,1.8562388,1.2684795,1.5731839,0.21929477,0.65758437,1.181295,0.8946325,3.3377552,1.9254498,1.8871262,4.9082017,3.2485397,3.0233805,4.9065647,4.6277294,2.7559352,2.9535508,4.230614,4.750402
8.362016,7.995047,6.744912,3.4417315,3.7827008,2.9786727,1.4254507,1.9863979,0.8991685,1.5331503,2.0020897,0.7535817,3.2012713,0.9831006,1.3162025,3.5013993,2.223216,3.1457345,3.2474797,4.013985,2.821982,3.1938257,7.861125,8.982363
